name,continent,region
Paraguay,Americas,Paraguay
Peru,Americas,Peru
Philippines,Asia,Philippines
Pitcairn,Oceania,Pitcairn
Poland,Europe,Poland
Portugal,Europe,Portugal
Puerto Rico,Americas,Puerto Rico
Qatar,Asia,Qatar
Reunion,Africa,Reunion
Romania,Europe,Romania
Russian Federation,Europe,Russian Federation
Rwanda,Africa,Rwanda
Saint Barthelemy,Americas,Saint Barthelemy
"Saint Helena, Ascension and Tristan da Cunha",Africa,"Saint Helena, Ascension and Tristan da Cunha"
Saint Kitts and Nevis,Americas,Saint Kitts and Nevis
Saint Lucia,Americas,Saint Lucia
Saint Martin (French part),Americas,Saint Martin (French part)
Saint Pierre and Miquelon,Americas,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,Americas,Saint Vincent and the Grenadines
Samoa,Oceania,Samoa
San Marino,Europe,San Marino
Sao Tome and Principe,Africa,Sao Tome and Principe
Saudi Arabia,Asia,Saudi Arabia
Senegal,Africa,Senegal
Serbia,Europe,Serbia
Seychelles,Africa,Seychelles
Sierra Leone,Africa,Sierra Leone
Singapore,Asia,Singapore
Sint Maarten (Dutch part),Americas,Sint Maarten (Dutch part)
Slovakia,Europe,Slovakia
Slovenia,Europe,Slovenia
Solomon Islands,Oceania,Solomon Islands
Somalia,Africa,Somalia
South Africa,Africa,South Africa
South Georgia and the South Sandwich Islands,Americas,South Georgia and the South Sandwich Islands
South Sudan,Africa,South Sudan
Spain,Europe,Spain
Sri Lanka,Asia,Sri Lanka
Sudan,Africa,Sudan
Suriname,Americas,Suriname
Svalbard and Jan Mayen,Europe,Svalbard and Jan Mayen
Sweden,Europe,Sweden
Switzerland,Europe,Switzerland
Syrian Arab Republic,Asia,Syrian Arab Republic
"Taiwan, Province of China",Asia,"Taiwan, Province of China"
Tajikistan,Asia,Tajikistan
"Tanzania, United Republic of",Africa,"Tanzania, United Republic of"
Thailand,Asia,Thailand
Timor-Leste,Asia,Timor-Leste
Togo,Africa,Togo
Tokelau,Oceania,Tokelau
Tonga,Oceania,Tonga
Trinidad and Tobago,Americas,Trinidad and Tobago
Tunisia,Africa,Tunisia
Turkey,Asia,Turkey
Turkmenistan,Asia,Turkmenistan
Turks and Caicos Islands,Americas,Turks and Caicos Islands
Tuvalu,Oceania,Tuvalu
Uganda,Africa,Uganda
Ukraine,Europe,Ukraine
United Arab Emirates,Asia,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,Europe,United Kingdom of Great Britain and Northern Ireland
United States of America,Americas,Alaska
United States of America,Americas,Alabama
United States of America,Americas,Arkansas
United States of America,Americas,Arizona
United States of America,Americas,California
United States of America,Americas,Colorado
United States of America,Americas,Connecticut
United States of America,Americas,District of Columbia
United States of America,Americas,Delaware
United States of America,Americas,Florida
United States of America,Americas,Georgia
United States of America,Americas,Hawaii
United States of America,Americas,Iowa
United States of America,Americas,Idaho
United States of America,Americas,Illinois
United States of America,Americas,Indiana
United States of America,Americas,Kansas
United States of America,Americas,Kentucky
United States of America,Americas,Louisiana
United States of America,Americas,Massachusetts
United States of America,Americas,Maryland
United States of America,Americas,Maine
United States of America,Americas,Michigan
United States of America,Americas,Minnesota
United States of America,Americas,Missouri
United States of America,Americas,Mississippi
United States of America,Americas,Montana
United States of America,Americas,North Carolina
United States of America,Americas,North Dakota
United States of America,Americas,Nebraska
United States of America,Americas,New Hampshire
United States of America,Americas,New Jersey
United States of America,Americas,New Mexico
United States of America,Americas,Nevada
United States of America,Americas,New York
United States of America,Americas,Ohio
United States of America,Americas,Oklahoma
United States of America,Americas,Oregon
United States of America,Americas,Pennsylvania
United States of America,Americas,Puerto Rico
United States of America,Americas,Rhode Island
United States of America,Americas,South Carolina
United States of America,Americas,South Dakota
United States of America,Americas,Tennessee
United States of America,Americas,Texas
United States of America,Americas,Utah
United States of America,Americas,Virginia
United States of America,Americas,Vermont
United States of America,Americas,Washington
United States of America,Americas,Wisconsin
United States of America,Americas,West Virginia
United States of America,Americas,Wyoming
United States of America,Americas,United States of America
United States Minor Outlying Islands,Oceania,United States Minor Outlying Islands
Uruguay,Americas,Uruguay
Uzbekistan,Asia,Uzbekistan
Vanuatu,Oceania,Vanuatu
Venezuela (Bolivarian Republic of),Americas,Venezuela (Bolivarian Republic of)
Viet Nam,Asia,Viet Nam
Virgin Islands (British),Americas,Virgin Islands (British)
Virgin Islands (U.S.),Americas,Virgin Islands (U.S.)
Wallis and Futuna,Oceania,Wallis and Futuna
Western Sahara,Africa,Western Sahara
Yemen,Asia,Yemen
Zambia,Africa,Zambia
Zimbabwe,Africa,Zimbabwe
